"统计口径","起始日期","截止日期","总数","命中","部分命中","未命中","严格命中率","调整后命中率","严格加权命中率","调整后加权命中率","核心承接命中","核心承接总数","稳健观察命中","稳健观察总数","弹性进攻命中","弹性进攻总数","其他类型命中","其他类型总数","数据来源"
"A股全量","2026-06-15","2026-07-13","148","60","33","55","40.5%","51.7%","39.7%","51.4%","6","19","22","53","8","14","24","62","daily_predictions.csv（剔除港股代码）"
"A股规则票","2026-06-15","2026-07-13","113","48","26","39","42.5%","54.0%","41.3%","53.4%","6","19","22","53","8","14","12","27","daily_predictions.csv（预测类型不以非规则开头）"
"A股非规则票","2026-06-17","2026-07-13","35","12","7","16","34.3%","44.3%","34.3%","44.3%","0","0","0","0","0","0","12","35","daily_predictions.csv（预测类型以非规则开头）"
"港股全量","2026-06-15","2026-07-13","35","11","12","12","31.4%","48.6%","31.3%","48.3%","1","2","3","11","2","3","5","19","hk_daily_predictions.csv"
"港股规则票","2026-06-15","2026-07-13","29","9","11","9","31.0%","50.0%","30.9%","49.7%","1","2","3","11","2","3","3","13","hk_daily_predictions.csv（预测类型不以非规则开头）"
"港股非规则票","2026-06-17","2026-07-13","6","2","1","3","33.3%","41.7%","33.3%","41.7%","0","0","0","0","0","0","2","6","hk_daily_predictions.csv（预测类型以非规则开头）"
"A股+港股全量","2026-06-15","2026-07-13","183","71","45","67","38.8%","51.1%","38.2%","50.8%","7","21","25","64","10","17","29","81","纯A股记录 + 港股独立台账，按市场去重"
"A股+港股规则票","2026-06-15","2026-07-13","142","57","37","48","40.1%","53.2%","39.3%","52.7%","7","21","25","64","10","17","15","40","两市场预测类型不以非规则开头"
