strategy,trades,win_rate,avg_return,avg_win,avg_loss,profit_factor,max_drawdown
平台突破,9,0.4444444444444444,-0.009801318155202526,0.0343794878441292,-0.045145962954667905,0.6092148328505107,-0.16130007059646834
强势回踩,12,0.5833333333333334,0.02172714682453286,0.07297269208161139,-0.050016616535377076,2.042556574013683,-0.062000000000000055
MACD+RSI趋势过滤,1,0.0,-0.062000000000000055,0,-0.062000000000000055,0.0,-0.062000000000000055
综合高约束组合,8,0.625,0.02906906388268221,0.0717271187476686,-0.04202769422562843,2.844438652070579,-0.061999999999999944
A股高流动性样本-平台突破,9,0.4444444444444444,-0.009801318155202526,0.0343794878441292,-0.045145962954667905,0.6092148328505107,-0.16130007059646834
A股高流动性样本-强势回踩,12,0.5833333333333334,0.02172714682453286,0.07297269208161139,-0.050016616535377076,2.042556574013683,-0.062000000000000055
A股高流动性样本-MACD+RSI趋势过滤,1,0.0,-0.062000000000000055,0,-0.062000000000000055,0.0,-0.062000000000000055
A股高流动性样本-综合高约束组合,8,0.625,0.02906906388268221,0.0717271187476686,-0.04202769422562843,2.844438652070579,-0.061999999999999944
